时间,压力(N),传感器#8,传感器#9,传感器#10,传感器#24,传感器#25,传感器#26,传感器#232,传感器#233,传感器#234,传感器#248,传感器#249,传感器#250
08h.46m.17s.694ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.704ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.714ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.724ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.734ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.744ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.755ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.764ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.774ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.785ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.794ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.804ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.815ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.825ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.835ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.844ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.855ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.864ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.875ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.884ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.895ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.904ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.914ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.925ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.934ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.946ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.954ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.964ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.974ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
08h.46m.17s.985ms,0.00,0,0,0,0,0,0,0,0,0,0,0,0
